brcode,tran_type,d_date,tran_month,item_code,qty,day,month,year,quarter,week,day_type
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,6,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,6,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,9,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,8,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,323007,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,233539,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,228187,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,2,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,298416,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,298416,2,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,6,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,202470,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,4,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,8,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,206115,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233539,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,2,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,10,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233384,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,5,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,2,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,206115,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,202470,2,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,298416,6,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,5,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,228187,3,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,6,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233539,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,10,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,202470,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,326899,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,2,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,2,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233384,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,324411,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,202470,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,324411,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,5,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,300,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,4,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,202470,0.4,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,202470,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,298416,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,323007,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,323007,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,323007,4,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,201975,5,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,319048,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,3,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,310183,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233539,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,202470,1,1,4,2016,1,13,weekday
109,Sale,2016-04-01,April,208501,5,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,233539,1,1,4,2016,1,13,weekday
3,Sale,2016-04-01,April,208501,1,1,4,2016,1,13,weekday
3,Sale,2016-04-02,April,233384,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,10,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,208501,6,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,6,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,6,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,298416,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,326899,10,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233539,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233384,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,10,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,324411,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,324411,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,203999,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,8,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,2,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,298416,2,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,324411,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,208501,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,206115,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,228187,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,323007,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,203999,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233539,2,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,4,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,323007,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,323007,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,10,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233384,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,233539,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,18,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,203999,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,6,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,206115,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,323007,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,310183,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,203999,5,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,208501,6,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,233539,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,3,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,298416,2,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,6,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,298416,2,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,8,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,319048,4,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,298416,1,2,4,2016,1,13,weekend
3,Sale,2016-04-02,April,201975,5,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,202470,1,2,4,2016,1,13,weekend
109,Sale,2016-04-02,April,208501,2,2,4,2016,1,13,weekend
